_id	title	category	price	avg_rating	pictures	questions_number
B01HJFCDG2	Zenpasta Risino di Konjac Secco, 200 gr	grocery	10.49	4.3	['https://images-na.ssl-images-amazon.com/images/G/29/x-site/icons/no-img-sm._AC_CB458038884_SL1500_.gif']	1
B07G44NYS9	Maschera Nera Peel Off Black Mask Maschera Punti Neri Maschera Viso Blackhead Remover Rimozione Punti Neri Pulizia Profonda Peel Off Maschera	beauty	8.99	4.2	['https://images-na.ssl-images-amazon.com/images/I/71-u%2BZ%2BWMZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61njpkY6EuL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Xj26v7DbL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61izGOL5PRL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61x4nQ1qF9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61QDSPZP6dL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51SbB2hKNvL.jpg']	0
B06XZYP5FW	ThermoPro TP55 Termometro Igrometro Digitale da Interno, Misuratore di Umidità e Temperatura Ambiente/Termoigrometro Professionale con Display LCD, Memoria Massima/Minima, Monitor di Comfort Casa	kitchen	17.99	4.7	['https://images-na.ssl-images-amazon.com/images/I/61cOEz5tPdL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71sQBd6fDcL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61xsuyROuQL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71%2BOyvoSu0L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71ku-0dPgfL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61R1VwAmf2L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/615IPKxn3gL.jpg']	57
B07BB5FF45	Giarrettiera di cotone nozze matrimonio sposa biancheria intima regali de nozze avorio blu	handmade	9.9	3.0	['https://images-na.ssl-images-amazon.com/images/I/61rr5JavspL._SL1500_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71IxeMV7ifL._SL1500_.jpg']	0
B01CWVX8QM	Braccialetto Pandora compatibile con perle in vetro di murano, rosa carino ciondolo e catenina di sicurezza,20cm	jewelry	19.95	3.9	['https://images-na.ssl-images-amazon.com/images/I/71KvRfARtLL._AC_UL1500_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61ty9EhpDXL._AC_UL1500_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/719r0Gbo-4L._AC_UL1500_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Y2LtxgrdL._AC_UL1500_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41EnAXt%2BbzL._AC_UL1500_.jpg']	7
B06ZYVMDV2	Linkax Lampada da lavoro Ricaricabile Lampade di ispezione Torcia LED COB Luce di Lavoro con Magnetica Clip	tools	10.99	4.4	['https://images-na.ssl-images-amazon.com/images/I/51our0eHg3L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ikC1zEd%2BL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/511PmoYNQbL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51vpbadNeEL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61dU%2B5ZUK3L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61yh9uuiWWL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61TeeB3ZdcL.jpg']	23
B0037QG73I	Profumo Uomo Adventure Davidoff EDT 50 ml	beauty	43.25	4.4	['https://images-na.ssl-images-amazon.com/images/I/21IVbl6R74L.jpg']	12
B07F2HLTJ7	Inserti di Avvitatore,Tacklife PSDB1B Punte di Torsione 60 Pezzi Tacklife per Foratura con Coppia Elevata,Acciaio Legato S2 Forgiato,1 Prolunga Adatti a Avvitatori,Custodia Portatile Solida Inclusa	tools	24.99	4.3	['https://images-na.ssl-images-amazon.com/images/I/714W2KWVKcL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/716HTasJstL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71789pDSe6L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/615dz4-yVUL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71OcPO%2BxN4L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71PzLyhYEfL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71AxYI%2BeaiL.jpg']	33
B07GRTVYJK	Focuspet Tappeto Auto per Cani, Copertura Universale per Bagagliaio Protezione Portabagagli Copri Baule Auto per Cani Tappetino Protezione Tappeto Auto	pet-supplies	27.89	4.5	['https://images-na.ssl-images-amazon.com/images/I/61o0gcDUqzL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61Vmo5uHZZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/519ZQFngpML.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71NyFn4XhVL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/610m43EjmwL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71ZlIoV6yKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71N7EAfqCKL.jpg']	0
B00L8VAKPK	SODIAL (R) 60 * 70cm Hot Tappetino coperta da letto di pile morbido carino caldo accogliente con Zampa Stampa per cane animale domestico Gatto ( stampa Zampa bianca fondo rosso)	kitchen	3.36	3.9	['https://images-na.ssl-images-amazon.com/images/I/61jyhZe-bDL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71BlGCQqyZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61p0Admtd%2BL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31mKidVH4UL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/519omXaPkYL.jpg']	2
